V_Rx(V),I(A),r_d(Ohm)
0.000,0.000000,-
0.010,0.000000,0.0
0.029,0.000000,0.0
0.049,0.000000,0.0
0.068,0.000000,0.0
0.088,0.000000,0.0
0.103,0.000000,0.0
0.132,0.000000,0.0
0.152,0.000000,0.0
0.166,0.000000,0.0
0.181,0.000000,0.0
0.200,0.000000,0.0
0.230,0.000000,0.0
0.244,0.000000,0.0
0.259,0.000000,0.0
0.269,0.000000,0.0
0.313,0.000000,0.0
0.323,0.000000,0.0
0.337,0.000000,0.0
0.347,0.000000,0.0
0.391,0.000000,0.0
0.406,0.000000,0.0
0.415,0.000000,0.0
0.420,0.000000,0.0
0.469,0.000104,470.0
0.455,0.000104,0.0
0.499,0.000208,423.0
0.489,0.000104,94.0
0.513,0.000416,78.3
0.503,0.000312,94.0
0.523,0.000728,47.0
0.518,0.000520,23.5
0.538,0.000936,47.0
0.528,0.000728,47.0
0.543,0.001248,28.2
0.533,0.001040,47.0
0.547,0.001560,28.2
0.538,0.001560,0.0
0.557,0.002080,37.6
0.552,0.001664,11.7
0.562,0.002392,13.4
0.552,0.001976,23.5
0.567,0.002704,20.1
0.562,0.002184,9.4
0.567,0.003224,4.7
0.567,0.005616,-141.0
0.582,0.005616,0.0
0.572,0.006239,-15.7
0.587,0.006239,0.0
0.582,0.005824,11.8
0.587,0.006967,4.3
0.587,0.006239,0.0
0.591,0.007903,2.9
0.587,0.007175,6.7
0.577,0.007487,-31.3
0.591,0.007591,141.0
0.596,0.008631,4.7
0.591,0.007799,5.9
0.582,0.008527,-13.4
0.591,0.008319,-47.0
0.582,0.009567,-7.8
0.596,0.008735,-17.6
0.582,0.009775,-14.1
0.596,0.008839,-15.7
0.601,0.010399,3.1
0.596,0.009359,4.7
0.587,0.009879,-18.8
0.596,0.009983,94.0
0.587,0.010711,-13.4
0.601,0.010087,-23.5
0.591,0.011647,-6.3
0.596,0.010607,-4.7
0.587,0.011231,-15.7
0.601,0.011023,-70.5
0.591,0.012167,-8.5
0.606,0.011439,-20.1
0.591,0.012479,-14.1
0.601,0.011543,-10.4
0.601,0.013311,0.0
0.601,0.012063,0.0
0.591,0.012687,-15.7
0.606,0.012583,-141.0
0.611,0.013831,3.9
0.606,0.012583,3.9
0.596,0.013935,-7.2
0.606,0.013519,-23.5
0.596,0.014039,-18.8
0.611,0.013623,-35.3
0.596,0.015079,-10.1
0.606,0.013623,-6.7
0.596,0.015391,-5.5
0.611,0.014455,-15.7
0.626,0.023606,-11.8
0.616,0.025166,-6.3
0.626,0.024022,-8.5
0.611,0.025166,-12.8
0.626,0.024438,-20.1
0.616,0.025894,-6.7
0.626,0.024854,-9.4
0.616,0.025790,-10.4
0.626,0.025374,-23.5
0.616,0.026622,-7.8
0.626,0.025790,-11.8
0.616,0.026934,-8.5
0.626,0.026206,-13.4
0.616,0.027350,-8.5
0.630,0.026622,-20.1
0.616,0.027766,-12.8
0.626,0.026414,-7.2
0.616,0.028078,-5.9
0.626,0.027558,-18.8
0.616,0.028494,-10.4
0.626,0.027246,-7.8
0.616,0.028910,-5.9
0.630,0.028286,-23.5
0.616,0.029222,-15.7
0.621,0.028078,-4.3
0.621,0.029637,0.0
0.630,0.029533,-94.0
0.616,0.029845,-47.0
0.630,0.029118,-20.1
0.621,0.030573,-6.7
0.630,0.029533,-9.4
0.616,0.030677,-12.8
0.635,0.029949,-26.9
0.626,0.023606,-11.8
0.616,0.025166,-6.3
0.626,0.024022,-8.5
0.611,0.025166,-12.8
0.626,0.024438,-20.1
0.616,0.025894,-6.7
0.626,0.024854,-9.4
0.616,0.025790,-10.4
0.626,0.025374,-23.5
0.616,0.026622,-7.8
0.626,0.025790,-11.8
0.616,0.026934,-8.5
0.626,0.026206,-13.4
0.616,0.027350,-8.5
0.630,0.026622,-20.1
0.616,0.027766,-12.8
0.626,0.026414,-7.2
0.616,0.028078,-5.9
0.626,0.027558,-18.8
0.616,0.028494,-10.4
0.626,0.027246,-7.8
0.616,0.028910,-5.9
0.630,0.028286,-23.5
0.616,0.029222,-15.7
0.621,0.028078,-4.3
0.621,0.029637,0.0
0.630,0.029533,-94.0
0.616,0.029845,-47.0
0.630,0.029118,-20.1
0.621,0.030573,-6.7
0.630,0.029533,-9.4
0.616,0.030677,-12.8
0.635,0.029949,-26.9
