V_Rx(V),I(A),R(Ohm)
0.000,0.000000,10000.0
0.010,0.000000,10000.0
0.029,0.000000,10000.0
0.049,0.000000,10000.0
0.064,0.000000,10000.0
0.088,0.000000,10000.0
0.108,0.000000,10000.0
0.132,0.000000,10000.0
0.142,0.000000,10000.0
0.166,0.000000,10000.0
0.186,0.000000,10000.0
0.210,0.000000,10000.0
0.215,0.000000,10000.0
0.239,0.000000,10000.0
0.264,0.000000,10000.0
0.293,0.000000,10000.0
0.293,0.000000,10000.0
0.318,0.000000,10000.0
0.342,0.000000,10000.0
0.371,0.000000,10000.0
0.367,0.000000,10000.0
0.391,0.000000,10000.0
0.420,0.000000,10000.0
0.455,0.000000,10000.0
0.440,0.000000,10000.0
0.469,0.000000,10000.0
0.503,0.000000,10000.0
0.528,0.000104,5076.0
0.518,0.000000,10000.0
0.543,0.000104,5217.0
0.577,0.000104,5546.0
0.601,0.000104,5781.0
0.591,0.000104,5687.0
0.626,0.000104,6016.0
0.665,0.000104,6392.0
0.640,0.000104,6157.0
0.674,0.000104,6486.0
0.714,0.000104,6862.0
0.714,0.000104,6862.0
0.748,0.000104,7191.0
0.723,0.000104,6956.0
0.762,0.000104,7332.0
0.802,0.000104,7708.0
0.777,0.000104,7473.0
0.806,0.000104,7755.0
0.850,0.000104,8178.0
0.894,0.000104,8601.0
0.855,0.000104,8225.0
0.894,0.000104,8601.0
0.938,0.000104,9024.0
0.924,0.000104,8883.0
0.938,0.000104,9024.0
0.982,0.000104,9447.0
1.031,0.000104,9917.0
0.982,0.000104,9447.0
1.026,0.000104,9870.0
1.075,0.000104,10340.0
1.109,0.000104,10669.0
1.080,0.000104,10387.0
1.080,0.000104,10387.0
1.119,0.000104,10763.0
1.153,0.000104,11092.0
1.193,0.000104,11468.0
1.232,0.000104,11844.0
1.207,0.000104,11609.0
1.193,0.000104,11468.0
1.227,0.000104,11797.0
1.266,0.000104,12173.0
1.305,0.000104,12549.0
1.344,0.000104,12925.0
1.344,0.000104,12925.0
1.349,0.000104,12972.0
1.315,0.000104,12643.0
1.334,0.000104,12831.0
1.373,0.000104,13207.0
1.413,0.000104,13583.0
1.452,0.000104,13959.0
1.486,0.000104,14288.0
1.457,0.000104,14006.0
1.437,0.000104,13818.0
1.476,0.000104,14194.0
1.520,0.000104,14617.0
1.559,0.000104,14993.0
1.598,0.000208,7684.5
1.554,0.000208,7473.0
1.569,0.000208,7543.5
1.628,0.000208,7825.5
1.672,0.000208,8037.0
1.608,0.000208,7731.5
1.657,0.000208,7966.5
1.720,0.000208,8272.0
1.720,0.000208,8272.0
1.686,0.000208,8107.5
1.750,0.000208,8413.0
1.818,0.000208,8742.0
1.769,0.000208,8507.0
1.872,0.000208,9000.5
1.891,0.000208,9094.5
1.833,0.000208,8812.5
1.896,0.000208,9118.0
1.965,0.000208,9447.0
1.940,0.000208,9329.5
1.921,0.000208,9235.5
1.989,0.000208,9564.5
2.058,0.000208,9893.5
1.999,0.000208,9611.5
2.014,0.000208,9682.0
2.082,0.000208,10011.0
2.131,0.000208,10246.0
2.107,0.000208,10128.5
2.087,0.000208,10034.5
2.092,0.000208,10058.0
2.141,0.000208,10293.0
2.195,0.000208,10551.5
2.243,0.000208,10786.5
2.243,0.000208,10786.5
2.219,0.000208,10669.0
2.199,0.000208,10575.0
2.243,0.000208,10786.5
2.297,0.000208,11045.0
2.351,0.000208,11303.5
2.370,0.000208,11397.5
2.351,0.000208,11303.5
2.331,0.000208,11209.5
2.346,0.000208,11280.0
2.400,0.000208,11538.5
2.454,0.000208,11797.0
2.498,0.000208,12008.5
2.502,0.000208,12032.0
2.561,0.000208,12314.0
2.551,0.000208,12267.0
2.537,0.000208,12196.5
2.522,0.000208,12126.0
2.551,0.000208,12267.0
2.605,0.000208,12525.5
2.659,0.000312,8522.7
2.654,0.000312,8507.0
2.615,0.000312,8381.7
2.669,0.000312,8554.0
2.757,0.000312,8836.0
2.717,0.000312,8710.7
2.683,0.000312,8601.0
2.761,0.000312,8851.7
2.820,0.000312,9039.7
2.786,0.000312,8930.0
2.766,0.000312,8867.3
2.854,0.000312,9149.3
2.884,0.000312,9243.3
2.849,0.000312,9133.7
2.854,0.000312,9149.3
2.942,0.000312,9431.3
2.952,0.000312,9462.7
2.923,0.000312,9368.7
2.942,0.000312,9431.3
3.030,0.000312,9713.3
3.021,0.000312,9682.0
2.991,0.000312,9588.0
3.035,0.000312,9729.0
3.109,0.000312,9964.0
