V_Rx(V),I(A),R(Ohm)
0.000,0.000000,0.0
0.010,0.000000,0.0
0.029,0.000000,0.0
0.049,0.000000,0.0
0.068,0.000000,0.0
0.088,0.000000,0.0
0.103,0.000000,0.0
0.132,0.000000,0.0
0.147,0.000000,0.0
0.161,0.000000,0.0
0.176,0.000000,0.0
0.210,0.000000,0.0
0.225,0.000000,0.0
0.235,0.000104,2256.0
0.259,0.000104,2491.0
0.279,0.000104,2679.0
0.279,0.000208,1339.5
0.283,0.000312,908.7
0.303,0.000416,728.5
0.323,0.000520,620.4
0.313,0.000624,501.3
0.342,0.000624,548.3
0.367,0.000728,503.6
0.357,0.000728,490.1
0.391,0.000728,537.1
0.425,0.000728,584.1
0.415,0.000728,570.7
0.450,0.000728,617.7
0.499,0.000624,799.0
0.494,0.000520,949.4
0.533,0.000520,1024.6
0.562,0.000520,1081.0
0.538,0.000520,1034.0
0.562,0.000624,900.8
0.606,0.000624,971.3
0.591,0.000624,947.8
0.650,0.000416,1562.8
0.699,0.000312,2240.3
0.718,0.000208,3454.5
0.709,0.000208,3407.5
0.718,0.000728,987.0
0.733,0.000936,783.3
0.679,0.001144,593.9
0.699,0.001352,517.0
0.733,0.001456,503.6
0.699,0.001352,517.0
0.738,0.001456,506.9
0.831,0.001040,799.0
0.806,0.000832,969.4
0.899,0.000416,2162.0
0.943,0.000416,2267.8
0.924,0.001248,740.3
0.836,0.001664,502.3
0.865,0.001664,519.9
0.909,0.001768,514.2
0.865,0.001664,519.9
0.914,0.001768,517.0
0.958,0.001872,511.8
0.968,0.000936,1034.0
1.041,0.000624,1668.5
0.987,0.000624,1582.3
1.022,0.000624,1637.2
1.017,0.001352,752.0
1.031,0.001768,583.4
0.953,0.001872,509.2
0.992,0.001976,502.2
1.041,0.002080,500.6
0.987,0.001976,499.7
1.061,0.001768,599.9
1.144,0.001560,733.2
1.056,0.002080,507.6
1.085,0.002184,496.9
1.139,0.002288,497.8
1.090,0.002184,499.1
1.134,0.002184,519.2
1.188,0.002288,519.1
1.153,0.002288,504.2
1.178,0.002288,514.9
1.232,0.002392,515.0
1.217,0.002392,508.8
1.222,0.002392,510.9
1.285,0.002392,537.4
1.325,0.002080,636.8
1.320,0.001872,705.0
1.378,0.001976,697.6
1.364,0.002392,570.1
1.305,0.002600,502.0
1.369,0.002704,506.2
1.388,0.002808,494.4
1.349,0.002704,498.9
1.452,0.002392,606.9
1.466,0.002912,503.6
1.398,0.002704,517.0
1.457,0.002912,500.2
1.505,0.003016,499.2
1.437,0.002808,511.8
1.481,0.002184,678.1
1.525,0.001872,814.7
1.628,0.001560,1043.4
1.637,0.001664,984.1
1.574,0.001872,840.8
1.603,0.002288,700.7
1.623,0.002704,600.2
1.520,0.003016,504.0
1.569,0.003120,502.9
1.623,0.003224,503.4
1.554,0.003120,498.2
1.613,0.003120,517.0
1.740,0.002704,643.5
1.755,0.001768,992.5
1.843,0.001352,1363.0
1.901,0.001352,1406.4
1.848,0.002496,740.3
1.755,0.002600,674.9
1.799,0.002808,640.6
1.804,0.003536,510.1
1.730,0.003432,504.2
1.769,0.003536,500.4
1.843,0.003640,506.3
1.833,0.003016,607.8
1.867,0.003016,619.1
1.945,0.003120,623.5
1.891,0.003120,606.3
1.911,0.003120,612.6
1.989,0.003224,617.1
1.921,0.000624,3078.5
1.940,0.000000,0.0
2.033,0.000000,0.0
1.891,0.001872,1010.5
1.872,0.002496,750.0
1.784,0.002600,686.2
1.818,0.002600,699.4
1.872,0.003016,620.7
1.799,0.002912,617.7
1.833,0.003016,607.8
1.960,0.002600,753.9
2.151,0.000000,0.0
2.243,0.000000,0.0
2.219,0.000000,0.0
2.185,0.000000,0.0
2.258,0.000000,0.0
2.322,0.000000,0.0
2.234,0.000728,3068.4
2.234,0.001352,1652.2
2.107,0.002912,723.5
2.009,0.003328,603.7
2.053,0.003328,616.9
2.107,0.003432,613.8
2.053,0.003328,616.9
2.087,0.003432,608.2
2.165,0.003536,612.4
2.077,0.004056,512.2
2.077,0.004056,512.2
2.160,0.004264,506.7
2.141,0.003848,556.4
2.234,0.002912,767.1
2.346,0.002808,835.6
2.278,0.003328,684.4
2.170,0.004264,509.0
2.248,0.004472,502.8
2.229,0.004368,510.3
2.195,0.004264,514.7
2.278,0.004472,509.3
2.283,0.004576,498.8
2.258,0.004264,529.6
2.395,0.003744,639.7
2.410,0.003952,609.8
2.370,0.003848,616.1
2.419,0.003952,612.2
2.468,0.004056,608.6
