V_Rx(V),I(A),R(Ohm)
0.000,0.000000,0.0
0.010,0.000000,0.0
0.029,0.000000,0.0
0.049,0.000000,0.0
0.068,0.000000,0.0
0.088,0.000000,0.0
0.103,0.000000,0.0
0.132,0.000000,0.0
0.147,0.000000,0.0
0.161,0.000000,0.0
0.176,0.000000,0.0
0.210,0.000000,0.0
0.225,0.000000,0.0
0.239,0.000000,0.0
0.244,0.000104,2350.0
0.269,0.000104,2585.0
0.293,0.000104,2820.0
0.323,0.000104,3102.0
0.342,0.000104,3290.0
0.342,0.000104,3290.0
0.371,0.000104,3572.0
0.396,0.000104,3807.0
0.425,0.000104,4089.0
0.415,0.000104,3995.0
0.445,0.000104,4277.0
0.474,0.000104,4559.0
0.503,0.000104,4841.0
0.489,0.000104,4700.0
0.518,0.000104,4982.0
0.547,0.000104,5264.0
0.582,0.000104,5593.0
0.591,0.000104,5687.0
0.591,0.000104,5687.0
0.621,0.000104,5969.0
0.660,0.000104,6345.0
0.694,0.000104,6674.0
0.660,0.000104,6345.0
0.694,0.000104,6674.0
0.723,0.000208,3478.0
0.767,0.000104,7379.0
0.728,0.000104,7003.0
0.767,0.000104,7379.0
0.802,0.000104,7708.0
0.841,0.000104,8084.0
0.880,0.000104,8460.0
0.875,0.000104,8413.0
0.875,0.000104,8413.0
0.914,0.000104,8789.0
0.953,0.000104,9165.0
0.978,0.000208,4700.0
0.938,0.000208,4512.0
0.982,0.000104,9447.0
1.017,0.000208,4888.0
1.061,0.000208,5099.5
1.022,0.000208,4911.5
1.193,0.001248,955.7
1.207,0.001248,967.4
1.256,0.001248,1006.6
1.285,0.001248,1030.1
1.310,0.000416,3149.0
1.373,0.000208,6603.5
1.422,0.000208,6838.5
1.471,0.000208,7073.5
1.461,0.000208,7026.5
1.437,0.000208,6909.0
1.486,0.000208,7144.0
1.544,0.000104,14852.0
1.574,0.000208,7567.0
1.559,0.000208,7496.5
1.535,0.000104,14758.0
1.564,0.000208,7520.0
1.623,0.000208,7802.0
1.676,0.000208,8060.5
1.652,0.000208,7943.0
1.628,0.000208,7825.5
1.681,0.000208,8084.0
1.740,0.000208,8366.0
1.760,0.000208,8460.0
1.711,0.000208,8225.0
1.740,0.000208,8366.0
1.799,0.000208,8648.0
1.852,0.000312,5937.7
1.823,0.000208,8765.5
1.799,0.000208,8648.0
1.857,0.000208,8930.0
1.916,0.000208,9212.0
1.935,0.000208,9306.0
1.891,0.000208,9094.5
1.911,0.000208,9188.5
1.970,0.000208,9470.5
2.033,0.000208,9776.0
2.004,0.000208,9635.0
1.970,0.000208,9470.5
2.033,0.000208,9776.0
2.097,0.000208,10081.5
2.131,0.000208,10246.0
2.121,0.000208,10199.0
2.116,0.000208,10175.5
