V_Rx(V),I(A),R(Ohm)
0.000,0.000000,100.0
0.005,0.000000,100.0
0.015,0.000104,101.0
0.024,0.000312,78.3
0.034,0.000312,109.7
0.049,0.000416,117.5
0.054,0.000520,103.4
0.068,0.000624,109.7
0.068,0.000728,94.0
0.088,0.000832,105.8
0.088,0.000936,94.0
0.108,0.001040,103.4
0.117,0.001248,94.0
0.122,0.001248,97.9
0.127,0.001248,101.8
0.142,0.001456,97.4
0.152,0.001664,91.1
0.161,0.001664,96.9
0.161,0.001664,96.9
0.186,0.001872,99.2
0.186,0.001872,99.2
0.210,0.002080,101.1
0.205,0.001976,103.9
0.225,0.002184,103.0
0.235,0.002288,102.5
0.254,0.002496,101.8
0.244,0.002496,97.9
0.274,0.002704,101.2
0.264,0.002600,101.5
0.288,0.002808,102.7
0.283,0.002912,97.4
0.308,0.003016,102.1
0.318,0.003328,95.5
0.323,0.003224,100.1
0.352,0.003432,102.5
0.332,0.003328,99.9
0.367,0.003640,100.7
0.352,0.003432,102.5
0.381,0.003744,101.8
0.371,0.003848,96.5
0.396,0.003952,100.2
0.411,0.004160,98.7
0.415,0.004056,102.4
0.445,0.004368,101.8
0.420,0.004160,101.1
0.455,0.004472,101.7
0.430,0.004368,98.5
0.469,0.004680,100.3
0.459,0.004784,96.0
0.489,0.004784,102.2
0.494,0.005096,96.9
0.503,0.004992,100.9
0.533,0.005304,100.5
0.503,0.005096,98.8
0.557,0.005512,101.1
0.523,0.005200,100.6
0.557,0.005616,99.2
0.538,0.005408,99.4
0.591,0.005824,101.6
0.547,0.005616,97.5
0.601,0.006031,99.7
0.582,0.005720,101.7
0.621,0.006135,101.2
0.621,0.006239,99.5
0.630,0.006343,99.4
0.616,0.006239,98.7
0.660,0.006551,100.7
0.650,0.006655,97.7
0.674,0.006759,99.8
0.645,0.006551,98.5
0.709,0.006967,101.7
0.674,0.006967,96.8
0.718,0.007175,100.1
0.714,0.007279,98.0
0.733,0.007279,100.7
0.758,0.007591,99.8
0.748,0.007383,101.3
0.792,0.007903,100.2
0.748,0.007383,101.3
0.792,0.007903,100.2
0.777,0.007903,98.3
0.811,0.008007,101.3
0.806,0.008215,98.2
0.821,0.008215,99.9
0.806,0.008215,98.2
0.850,0.008527,99.7
0.811,0.008215,98.8
0.885,0.008735,101.3
0.841,0.008527,98.6
0.894,0.008943,100.0
0.880,0.008839,99.5
0.909,0.009047,100.5
0.909,0.009151,99.3
0.924,0.009151,100.9
0.943,0.009463,99.7
0.938,0.009255,101.4
0.973,0.009879,98.5
0.948,0.009359,101.3
1.002,0.009983,100.4
0.943,0.009463,99.7
1.012,0.010087,100.3
0.973,0.009879,98.5
1.022,0.010191,100.2
1.036,0.010503,98.7
1.031,0.010295,100.2
1.070,0.010815,99.0
1.041,0.010399,100.1
1.100,0.011023,99.8
1.051,0.010503,100.0
1.114,0.011127,100.1
1.080,0.010815,99.9
1.124,0.011231,100.1
1.109,0.011231,98.8
1.129,0.011231,100.5
1.149,0.011543,99.5
1.134,0.011335,100.0
1.183,0.011959,98.9
1.144,0.011335,100.9
1.207,0.011959,100.9
1.168,0.011751,99.4
1.212,0.012063,100.5
1.207,0.012063,100.1
1.197,0.011855,101.0
1.266,0.012583,100.6
1.212,0.012167,99.6
1.271,0.012583,101.0
1.246,0.012583,99.0
1.271,0.012687,100.2
1.285,0.012895,99.7
1.276,0.012687,100.5
1.320,0.013311,99.1
1.281,0.012687,100.9
1.354,0.013415,100.9
1.305,0.013207,98.8
1.354,0.013519,100.1
1.344,0.013519,99.4
1.359,0.013519,100.5
1.378,0.013831,99.7
1.364,0.013519,100.9
1.413,0.014143,99.9
1.447,0.014455,100.1
1.403,0.014039,99.9
1.466,0.014559,100.7
1.432,0.014455,99.1
1.466,0.014559,100.7
1.466,0.014767,99.3
1.471,0.014559,101.1
1.500,0.015079,99.5
1.471,0.014663,100.3
1.530,0.015391,99.4
1.476,0.014767,100.0
1.554,0.015391,101.0
1.530,0.015287,100.1
1.525,0.015183,100.4
1.574,0.015807,99.6
1.525,0.015287,99.8
1.588,0.015911,99.8
1.554,0.015495,100.3
1.618,0.016223,99.7
1.569,0.015703,99.9
1.632,0.016327,100.0
1.598,0.016015,99.8
1.667,0.016639,100.2
1.632,0.016327,100.0
1.637,0.016327,100.3
1.676,0.016847,99.5
1.637,0.016327,100.3
1.711,0.017159,99.7
1.667,0.016639,100.2
1.720,0.017159,100.3
1.711,0.017159,99.7
1.720,0.017055,100.9
1.740,0.017471,99.6
1.720,0.017055,100.9
1.769,0.017782,99.5
1.725,0.017367,99.3
1.784,0.017886,99.7
1.794,0.017990,99.7
1.755,0.017575,99.8
1.808,0.018094,99.9
1.769,0.017678,100.1
1.833,0.018406,99.6
1.799,0.017990,100.0
1.852,0.018510,100.1
1.838,0.018406,99.8
1.857,0.018406,100.9
1.867,0.018718,99.7
1.852,0.018406,100.6
1.896,0.018926,100.2
1.872,0.018718,100.0
1.916,0.019030,100.7
1.911,0.019134,99.9
1.906,0.019030,100.2
1.935,0.019446,99.5
1.906,0.019134,99.6
1.955,0.019550,100.0
1.935,0.019342,100.1
1.989,0.019966,99.6
1.965,0.019654,100.0
2.004,0.019966,100.4
1.999,0.020070,99.6
2.009,0.019966,100.6
2.023,0.020278,99.8
2.004,0.020070,99.8
2.038,0.020382,100.0
2.023,0.020278,99.8
2.058,0.020694,99.4
2.053,0.020382,100.7
2.087,0.020902,99.8
2.063,0.020694,99.7
2.102,0.021006,100.0
2.082,0.020902,99.6
2.121,0.021214,100.0
2.111,0.021110,100.0
2.151,0.021526,99.9
2.136,0.021422,99.7
2.170,0.021734,99.8
2.155,0.021526,100.1
2.195,0.021942,100.0
2.190,0.021838,100.3
2.180,0.021838,99.8
2.209,0.022150,99.7
2.199,0.021942,100.2
2.234,0.022358,99.9
2.219,0.022254,99.7
2.248,0.022566,99.6
2.239,0.022462,99.7
2.268,0.022670,100.0
2.263,0.022670,99.8
2.292,0.022878,100.2
2.287,0.022878,100.0
2.312,0.023190,99.7
2.312,0.023086,100.1
2.326,0.023086,100.8
2.336,0.023398,99.8
2.331,0.023398,99.6
2.356,0.023606,99.8
2.356,0.023502,100.2
2.375,0.023814,99.7
2.375,0.023814,99.7
2.400,0.023918,100.3
2.400,0.024022,99.9
2.419,0.024126,100.3
2.419,0.024230,99.8
2.429,0.024230,100.3
2.429,0.024334,99.8
2.449,0.024438,100.2
2.454,0.024542,100.0
2.463,0.024542,100.4
2.473,0.024750,99.9
2.478,0.024854,99.7
2.493,0.024958,99.9
2.502,0.024958,100.3
2.512,0.025166,99.8
2.537,0.025374,100.0
